,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
0,brenden aaronson,us USA,Leeds United,eng Premier League,14,1189,0.08,0.15,0.23,0.14,0.22,MF,22.0,2,0,8,28,1,68.0,26.1,42,0.3,1.44,0.05,0.25,19.1,82.4,77.1,38.5,27.0,27.0,7.0,2.0,28.0,24.0,8.0,13.0,3.0,33.3,16.0,21.0,1.0,20.0,5.0,3.86,35.0,7.0,3.0,2.0,3.0,1.0,0.38,3.0,0.0,0.0,1.0,0.0,1.0,1711,30000000.0
1,yunis abdelhamid,ma MAR,Reims,fr Ligue 1,15,1350,0.0,0.0,0.0,0.09,0.02,DF,35.0,1,0,19,9,34,96.0,64.4,3,0.0,1.0,0.0,0.0,12.0,84.3,89.7,54.9,4.0,41.0,2.0,0.0,46.0,33.0,17.0,16.0,0.0,78.9,4.0,30.0,12.0,18.0,43.0,1.07,12.0,0.0,0.0,2.0,0.0,2.0,0.13,1.0,0.0,0.0,1.0,0.0,0.0,1594,800000.0
3,salis abdul samed,gh GHA,Lens,fr Ligue 1,15,1349,0.07,0.0,0.07,0.02,0.02,MF,22.0,2,0,37,22,18,98.0,56.3,5,0.07,0.4,0.17,1.0,23.6,92.1,95.0,78.3,9.0,81.0,9.0,1.0,58.0,22.0,8.0,12.0,2.0,60.9,9.0,17.0,4.0,13.0,13.0,1.2,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722,10000000.0
4,laurent abergel,fr FRA,Lorient,fr Ligue 1,10,807,0.0,0.11,0.11,0.02,0.06,MF,29.0,2,0,7,9,12,51.0,50.0,2,0.0,0.45,0.0,0.0,23.9,94.6,89.5,77.1,7.0,33.0,2.0,0.0,27.0,32.0,23.0,9.0,0.0,37.0,17.0,12.0,2.0,10.0,10.0,1.45,11.0,0.0,0.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,1585,3000000.0
6,zakaria aboukhlal,ma MAR,Toulouse,fr Ligue 1,15,1170,0.23,0.23,0.46,0.27,0.11,FW,22.0,2,0,19,20,10,58.0,20.0,15,0.92,2.77,0.08,0.25,18.5,77.7,72.0,33.3,7.0,10.0,5.0,1.0,14.0,11.0,5.0,3.0,3.0,25.0,12.0,8.0,1.0,7.0,6.0,2.23,17.0,0.0,3.0,4.0,5.0,0.0,0.15,1.0,0.0,1.0,0.0,0.0,0.0,1554,3500000.0
7,tammy abraham,eng ENG,Roma,it Serie A,15,1041,0.26,0.09,0.35,0.54,0.16,FW,25.0,0,0,15,22,1,18.0,52.9,3,1.12,3.03,0.09,0.23,12.2,84.5,65.7,76.5,17.0,7.0,7.0,1.0,19.0,11.0,3.0,4.0,4.0,33.3,6.0,4.0,2.0,2.0,4.0,3.28,24.0,0.0,2.0,9.0,3.0,0.0,0.43,1.0,0.0,0.0,3.0,1.0,0.0,1734,45000000.0
8,francesco acerbi,it ITA,Inter,it Serie A,9,660,0.0,0.14,0.14,0.02,0.01,DF,34.0,1,0,6,5,6,34.0,81.0,2,0.0,0.41,0.0,0.0,22.0,92.4,91.1,73.6,2.0,26.0,2.0,0.0,25.0,8.0,7.0,1.0,0.0,100.0,0.0,5.0,3.0,2.0,22.0,0.68,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843,4000000.0
10,marcos acuna,ar ARG,Sevilla,es La Liga,10,551,0.0,0.0,0.0,0.05,0.17,DF,31.0,4,1,14,8,11,51.0,62.5,55,0.0,1.47,0.0,0.0,29.7,88.1,75.2,50.0,12.0,14.0,12.0,7.0,22.0,19.0,10.0,8.0,1.0,64.3,5.0,7.0,2.0,5.0,7.0,2.88,10.0,6.0,0.0,2.0,0.0,0.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,1716,14000000.0
11,che adams,sct SCO,Southampton,eng Premier League,14,1066,0.34,0.08,0.42,0.33,0.14,FW,26.0,0,0,18,12,3,24.0,34.0,7,1.01,2.45,0.14,0.33,13.8,76.8,66.7,90.0,16.0,8.0,7.0,2.0,11.0,10.0,4.0,5.0,1.0,80.0,1.0,8.0,2.0,6.0,14.0,2.36,22.0,1.0,1.0,3.0,1.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1673,22000000.0
12,tyler adams,us USA,Leeds United,eng Premier League,13,1166,0.0,0.0,0.0,0.0,0.07,MF,23.0,4,1,25,12,16,104.0,56.3,2,0.0,0.15,0.0,0.0,29.4,88.3,84.6,56.5,15.0,61.0,8.0,0.0,58.0,52.0,28.0,20.0,4.0,67.4,15.0,21.0,4.0,17.0,13.0,1.85,23.0,0.0,0.0,0.0,1.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1711,17000000.0
13,sargis adamyan,am ARM,Köln,de Bundesliga,14,434,0.21,0.21,0.41,0.6,0.12,FW,29.0,1,0,11,4,1,25.0,29.6,9,1.87,3.32,0.06,0.11,13.4,86.3,72.9,72.7,7.0,5.0,8.0,2.0,13.0,8.0,3.0,1.0,4.0,44.4,5.0,7.0,0.0,7.0,2.0,3.52,13.0,0.0,0.0,4.0,0.0,0.0,0.41,1.0,0.0,0.0,1.0,0.0,0.0,1651,2500000.0
14,tosin adarabioyo,eng ENG,Fulham,eng Premier League,10,900,0.1,0.0,0.1,0.01,0.0,DF,25.0,0,0,6,2,11,40.0,81.5,1,0.1,0.3,0.33,1.0,11.1,87.0,88.2,43.8,1.0,22.0,2.0,0.0,28.0,11.0,9.0,2.0,0.0,66.7,2.0,7.0,6.0,1.0,50.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680,18000000.0
16,karim adeyemi,de GER,Dortmund,de Bundesliga,11,489,0.0,0.0,0.0,0.17,0.25,FW,20.0,3,0,7,9,4,20.0,85.7,7,1.1,2.21,0.0,0.0,18.2,84.5,77.8,38.5,8.0,8.0,9.0,0.0,12.0,6.0,3.0,2.0,1.0,40.0,9.0,7.0,0.0,7.0,0.0,3.87,15.0,0.0,1.0,3.0,2.0,0.0,0.55,2.0,0.0,0.0,1.0,0.0,0.0,1802,35000000.0
19,michel aebischer,ch SUI,Bologna,it Serie A,13,625,0.14,0.0,0.14,0.1,0.03,FW,25.0,2,0,7,13,2,33.0,38.5,5,0.29,1.3,0.11,0.5,16.9,89.6,87.6,55.6,5.0,15.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,4.0,8.0,1.0,7.0,4.0,2.16,10.0,1.0,1.0,2.0,1.0,0.0,0.29,0.0,0.0,0.0,1.0,1.0,0.0,1608,3500000.0
21,emmanuel agbadou,ci CIV,Reims,fr Ligue 1,12,969,0.0,0.0,0.0,0.08,0.04,DF,25.0,2,2,15,3,13,87.0,60.5,0,0.19,0.93,0.0,0.0,16.0,89.5,89.4,66.7,2.0,26.0,5.0,0.0,22.0,29.0,20.0,9.0,0.0,72.7,6.0,13.0,6.0,7.0,54.0,1.11,9.0,1.0,0.0,2.0,0.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1594,3000000.0
24,alvaro aguado,es ESP,Valladolid,es La Liga,13,747,0.0,0.24,0.24,0.03,0.1,MF,26.0,1,0,4,9,5,45.0,47.1,18,0.12,0.72,0.0,0.0,25.4,92.1,84.8,76.7,15.0,41.0,4.0,1.0,43.0,3.0,2.0,1.0,0.0,42.9,4.0,9.0,3.0,6.0,5.0,3.85,27.0,4.0,0.0,0.0,1.0,0.0,0.48,2.0,2.0,0.0,0.0,0.0,0.0,1622,3000000.0
25,kevin agudelo,co COL,Spezia,it Serie A,15,977,0.0,0.0,0.0,0.05,0.11,MF,24.0,2,0,16,16,6,63.0,28.6,14,0.37,1.11,0.0,0.0,22.6,80.9,77.8,59.3,10.0,29.0,9.0,1.0,31.0,36.0,12.0,16.0,8.0,41.2,20.0,22.0,4.0,18.0,2.0,2.12,15.0,1.0,2.0,3.0,2.0,0.0,0.18,1.0,0.0,0.0,0.0,1.0,0.0,1517,3500000.0
28,naouirou ahamada,fr FRA,Stuttgart,de Bundesliga,15,1231,0.15,0.0,0.15,0.06,0.04,MF,20.0,2,0,14,16,8,78.0,33.3,6,0.37,1.1,0.13,0.4,22.4,92.1,91.9,48.5,11.0,31.0,6.0,2.0,26.0,16.0,7.0,6.0,3.0,42.1,11.0,13.0,4.0,9.0,6.0,2.34,25.0,0.0,3.0,2.0,1.0,1.0,0.29,4.0,0.0,0.0,0.0,0.0,0.0,1628,5500000.0
29,jean eudes aholou,ci CIV,Strasbourg,fr Ligue 1,12,590,0.0,0.0,0.0,0.06,0.12,MF,28.0,2,0,9,16,12,34.0,50.0,2,0.31,0.76,0.0,0.0,20.9,79.4,67.4,45.8,6.0,12.0,6.0,0.0,12.0,13.0,3.0,8.0,2.0,41.7,7.0,8.0,0.0,8.0,5.0,1.84,9.0,0.0,0.0,0.0,1.0,2.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,1596,3000000.0
30,joseph aidoo,gh GHA,Celta Vigo,es La Liga,14,1260,0.07,0.0,0.07,0.03,0.0,DF,27.0,2,0,9,6,11,86.0,49.0,0,0.07,0.43,0.17,1.0,18.3,85.5,93.2,62.7,1.0,39.0,3.0,0.0,35.0,26.0,17.0,8.0,1.0,66.7,4.0,14.0,7.0,7.0,48.0,0.29,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634,7000000.0
31,ola aina,ng NGA,Torino,it Serie A,10,580,0.16,0.0,0.16,0.1,0.13,DF,26.0,3,0,10,11,7,36.0,57.1,20,0.47,0.93,0.17,0.33,17.6,91.7,75.4,55.4,7.0,20.0,10.0,6.0,21.0,13.0,3.0,7.0,3.0,60.0,4.0,7.0,1.0,6.0,17.0,2.48,14.0,0.0,2.0,0.0,0.0,0.0,0.31,1.0,0.0,1.0,0.0,0.0,0.0,1637,3500000.0
32,rayan ait nouri,fr FRA,Wolves,eng Premier League,10,666,0.0,0.0,0.0,0.05,0.11,DF,21.0,1,0,9,6,3,36.0,41.2,15,0.41,0.95,0.0,0.0,14.5,89.4,84.8,78.3,6.0,21.0,12.0,5.0,25.0,18.0,14.0,3.0,1.0,75.0,1.0,1.0,0.0,1.0,10.0,2.3,12.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682,22000000.0
34,kristoffer ajer,no NOR,Brentford,eng Premier League,6,502,0.0,0.0,0.0,0.01,0.0,DF,24.0,0,0,3,7,5,27.0,53.3,4,0.0,0.18,0.0,0.0,6.0,84.8,81.5,46.7,0.0,15.0,0.0,0.0,13.0,9.0,4.0,3.0,2.0,53.8,6.0,5.0,4.0,1.0,11.0,0.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739,16000000.0
35,ludovic ajorque,re REU,Strasbourg,fr Ligue 1,10,508,0.18,0.0,0.18,0.46,0.08,FW,28.0,1,0,9,6,1,14.0,56.4,0,0.53,2.48,0.0,0.0,15.5,74.2,76.4,72.7,6.0,7.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,20.0,4.0,1.0,1.0,0.0,4.0,1.95,11.0,0.0,0.0,0.0,0.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1596,11000000.0
36,manuel akanji,ch SUI,Manchester City,eng Premier League,8,701,0.0,0.13,0.13,0.07,0.02,DF,27.0,1,0,8,3,5,40.0,30.4,0,0.13,1.16,0.0,0.0,17.7,96.7,96.5,76.3,3.0,41.0,0.0,0.0,25.0,13.0,5.0,6.0,2.0,84.6,2.0,9.0,1.0,8.0,8.0,1.28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030,30000000.0
37,nathan ake,nl NED,Manchester City,eng Premier League,8,571,0.0,0.0,0.0,0.02,0.02,DF,27.0,0,0,2,4,5,24.0,56.5,2,0.0,0.47,0.0,0.0,12.3,94.3,95.7,74.3,2.0,44.0,0.0,0.0,23.0,5.0,3.0,2.0,0.0,80.0,1.0,6.0,3.0,3.0,6.0,1.1,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030,30000000.0
38,sergio akieme,es ESP,Almería,es La Liga,14,1260,0.0,0.0,0.0,0.07,0.05,DF,24.0,3,0,12,9,9,69.0,52.9,37,0.36,1.14,0.0,0.0,21.2,87.6,84.1,50.0,9.0,23.0,9.0,8.0,22.0,24.0,16.0,6.0,2.0,78.6,3.0,14.0,3.0,11.0,24.0,1.5,16.0,0.0,1.0,2.0,0.0,2.0,0.14,1.0,0.0,1.0,0.0,0.0,0.0,1611,7500000.0
42,kevin akpoguma,ng NGA,Hoffenheim,de Bundesliga,13,836,0.0,0.0,0.0,0.04,0.03,DF,27.0,4,0,15,8,10,55.0,55.0,5,0.0,0.32,0.0,0.0,11.9,82.8,88.1,53.5,2.0,33.0,4.0,2.0,33.0,32.0,18.0,14.0,0.0,68.8,5.0,20.0,5.0,15.0,23.0,0.54,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683,5000000.0
43,david alaba,at AUT,Real Madrid,es La Liga,14,1165,0.08,0.23,0.31,0.04,0.06,DF,30.0,3,0,6,2,11,61.0,57.1,16,0.08,0.7,0.11,1.0,20.7,96.1,89.1,55.7,12.0,46.0,4.0,1.0,28.0,7.0,3.0,2.0,2.0,62.5,3.0,8.0,5.0,3.0,21.0,1.62,17.0,3.0,0.0,1.0,0.0,0.0,0.31,3.0,0.0,0.0,1.0,0.0,0.0,1952,55000000.0
46,jordi alba,es ESP,Barcelona,es La Liga,10,682,0.0,0.13,0.13,0.02,0.34,DF,33.0,2,0,7,2,4,51.0,37.5,34,0.13,0.66,0.0,0.0,24.9,90.9,88.0,65.7,19.0,83.0,24.0,7.0,57.0,12.0,8.0,4.0,0.0,61.5,5.0,5.0,2.0,3.0,10.0,4.1,27.0,2.0,1.0,1.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,1883,5000000.0
47,luis alberto,es ESP,Lazio,it Serie A,13,545,0.5,0.17,0.66,0.11,0.19,MF,30.0,1,0,4,2,2,37.0,33.3,31,0.99,1.49,0.33,0.5,18.6,89.2,86.3,50.0,12.0,33.0,15.0,0.0,38.0,7.0,1.0,4.0,2.0,33.3,8.0,5.0,1.0,4.0,1.0,2.98,12.0,6.0,0.0,0.0,0.0,0.0,0.66,4.0,0.0,0.0,0.0,0.0,0.0,1725,18000000.0
48,raul albiol,es ESP,Villarreal,es La Liga,13,1159,0.0,0.0,0.0,0.0,0.0,DF,37.0,4,0,9,11,9,55.0,69.4,1,0.0,0.08,0.0,0.0,33.6,93.3,93.0,74.1,0.0,47.0,5.0,0.0,39.0,13.0,7.0,5.0,1.0,87.5,1.0,9.0,9.0,0.0,60.0,0.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762,3000000.0
51,ruben alcaraz,es ESP,Cádiz,es La Liga,10,513,0.0,0.0,0.0,0.07,0.07,MF,31.0,5,1,10,13,4,40.0,53.8,9,0.0,1.58,0.0,0.0,23.4,78.7,92.7,62.3,6.0,22.0,3.0,2.0,14.0,14.0,8.0,6.0,0.0,38.5,8.0,6.0,0.0,6.0,6.0,2.29,8.0,4.0,0.0,0.0,1.0,0.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,1600,2000000.0
53,ivan alejo,es ESP,Cádiz,es La Liga,12,657,0.0,0.14,0.14,0.05,0.11,MF,27.0,5,0,23,20,2,34.0,60.9,44,0.14,1.1,0.0,0.0,23.8,74.7,52.5,32.0,8.0,3.0,7.0,6.0,5.0,22.0,11.0,7.0,4.0,50.0,13.0,12.0,1.0,11.0,5.0,2.6,14.0,0.0,1.0,2.0,2.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1600,1200000.0
54,carles alena,es ESP,Getafe,es La Liga,13,1022,0.18,0.18,0.35,0.07,0.05,MF,24.0,6,0,24,28,2,55.0,35.0,13,0.44,1.14,0.15,0.4,24.3,86.2,83.0,58.3,7.0,42.0,9.0,2.0,34.0,11.0,4.0,2.0,5.0,14.3,18.0,9.0,0.0,9.0,11.0,1.85,14.0,0.0,0.0,2.0,5.0,0.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,1632,10000000.0
55,trent alexander arnold,eng ENG,Liverpool,eng Premier League,14,989,0.09,0.0,0.09,0.1,0.2,DF,24.0,2,0,6,1,13,91.0,61.5,101,0.27,1.27,0.07,0.33,21.7,89.1,76.9,49.4,26.0,78.0,35.0,12.0,75.0,15.0,11.0,2.0,2.0,52.4,10.0,8.0,2.0,6.0,15.0,4.1,28.0,14.0,1.0,2.0,0.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,2000,70000000.0
57,angel algobia,es ESP,Getafe,es La Liga,8,362,0.0,0.0,0.0,0.02,0.04,MF,23.0,2,0,12,2,1,21.0,33.3,4,0.0,0.5,0.0,0.0,25.0,82.9,93.6,71.4,3.0,8.0,3.0,3.0,6.0,15.0,10.0,5.0,0.0,78.6,3.0,7.0,3.0,4.0,2.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1632,1500000.0
60,jim allevinah,ga GAB,Clermont Foot,fr Ligue 1,13,545,0.17,0.0,0.17,0.18,0.11,FW,27.0,1,0,8,21,1,25.0,25.0,11,0.5,1.98,0.08,0.33,15.4,85.6,81.1,55.6,3.0,11.0,2.0,0.0,6.0,9.0,3.0,3.0,3.0,25.0,12.0,9.0,0.0,9.0,2.0,1.98,11.0,0.0,0.0,1.0,0.0,0.0,0.17,0.0,0.0,0.0,1.0,0.0,0.0,1530,2000000.0
63,miguel almiron,py PAR,Newcastle Utd,eng Premier League,15,1255,0.57,0.07,0.65,0.33,0.08,FW,28.0,0,0,9,13,2,66.0,57.1,15,0.86,2.65,0.22,0.67,16.8,90.8,81.0,68.2,12.0,23.0,17.0,2.0,39.0,24.0,8.0,9.0,7.0,61.5,5.0,13.0,2.0,11.0,6.0,2.87,30.0,1.0,4.0,3.0,2.0,0.0,0.57,3.0,1.0,3.0,1.0,0.0,0.0,1842,20000000.0
65,mickael alphonse,gp GLP,Ajaccio,fr Ligue 1,12,652,0.0,0.0,0.0,0.03,0.04,DF,33.0,1,0,9,6,17,42.0,58.3,20,0.0,0.69,0.0,0.0,19.1,83.8,65.5,32.4,6.0,22.0,7.0,3.0,22.0,15.0,9.0,4.0,2.0,60.0,6.0,9.0,2.0,7.0,14.0,1.38,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493,300000.0
66,gaston alvarez,uy URU,Getafe,es La Liga,7,429,0.42,0.0,0.42,0.08,0.0,DF,22.0,0,1,5,6,9,19.0,44.4,3,0.42,0.42,1.0,1.0,9.5,95.1,67.8,33.3,0.0,8.0,0.0,0.0,9.0,11.0,8.0,3.0,0.0,50.0,6.0,5.0,3.0,2.0,15.0,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632,5000000.0
67,julian alvarez,ar ARG,Manchester City,eng Premier League,12,364,0.74,0.0,0.74,0.33,0.11,FW,22.0,0,0,6,2,0,7.0,37.5,5,1.48,2.72,0.27,0.5,15.0,94.1,77.8,66.7,5.0,8.0,4.0,1.0,8.0,7.0,0.0,5.0,2.0,14.3,6.0,6.0,0.0,6.0,1.0,3.21,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030,32000000.0
69,yeray alvarez,es ESP,Athletic Club,es La Liga,12,1056,0.0,0.09,0.09,0.03,0.04,DF,27.0,2,0,9,11,26,88.0,61.9,6,0.0,0.43,0.0,0.0,19.0,89.4,89.1,53.7,6.0,71.0,5.0,4.0,59.0,15.0,12.0,2.0,1.0,84.6,2.0,13.0,10.0,3.0,43.0,1.19,11.0,1.0,0.0,1.0,1.0,0.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,1728,15000000.0
70,ibrahim amadou,fr FRA,Angers,fr Ligue 1,6,401,0.0,0.0,0.0,0.01,0.01,DF,29.0,2,0,4,2,8,24.0,54.5,1,0.0,0.45,0.0,0.0,24.4,94.1,94.7,52.2,1.0,3.0,0.0,0.0,3.0,9.0,5.0,3.0,1.0,70.0,3.0,6.0,3.0,3.0,18.0,0.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490,1800000.0
71,daniel amartey,gh GHA,Leicester City,eng Premier League,12,915,0.0,0.0,0.0,0.01,0.05,DF,27.0,0,0,4,3,7,61.0,50.0,0,0.2,0.3,0.0,0.0,25.2,93.4,94.0,70.5,4.0,39.0,1.0,0.0,29.0,13.0,8.0,4.0,1.0,88.9,1.0,11.0,6.0,5.0,33.0,0.98,10.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1786,15000000.0
74,kelvin amian,fr FRA,Spezia,it Serie A,8,419,0.0,0.21,0.21,0.06,0.18,DF,24.0,3,0,8,2,3,19.0,54.2,5,0.0,1.07,0.0,0.0,18.8,90.1,74.1,50.0,4.0,14.0,3.0,2.0,16.0,6.0,3.0,0.0,3.0,100.0,0.0,2.0,0.0,2.0,14.0,1.07,4.0,0.0,0.0,1.0,0.0,0.0,0.21,0.0,0.0,0.0,1.0,0.0,0.0,1517,3500000.0
76,bruno amione,ar ARG,Sampdoria,it Serie A,5,388,0.0,0.0,0.0,0.01,0.01,DF,20.0,3,0,5,2,8,22.0,80.0,3,0.23,0.46,0.0,0.0,16.1,80.4,80.4,43.5,1.0,4.0,3.0,1.0,12.0,4.0,4.0,0.0,0.0,66.7,1.0,4.0,0.0,4.0,7.0,0.93,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505,2000000.0
77,nadiem amiri,de GER,Leverkusen,de Bundesliga,11,422,0.21,0.21,0.43,0.08,0.1,MF,26.0,3,0,6,10,3,27.0,0.0,3,0.85,1.71,0.13,0.25,25.5,88.9,89.4,60.9,5.0,15.0,3.0,0.0,13.0,6.0,1.0,4.0,1.0,55.6,4.0,6.0,0.0,6.0,6.0,2.77,9.0,0.0,2.0,1.0,1.0,0.0,0.64,1.0,0.0,1.0,0.0,1.0,0.0,1759,6000000.0
78,ethan ampadu,wls WAL,Spezia,it Serie A,10,833,0.0,0.11,0.11,0.09,0.05,DF,22.0,3,0,15,8,8,54.0,60.0,6,0.32,0.97,0.0,0.0,13.8,87.5,85.7,45.6,7.0,43.0,5.0,2.0,47.0,23.0,13.0,8.0,2.0,50.0,7.0,12.0,8.0,4.0,20.0,1.94,14.0,0.0,0.0,2.0,1.0,1.0,0.32,3.0,0.0,0.0,0.0,0.0,0.0,1517,9000000.0
79,sofyan amrabat,ma MAR,Fiorentina,it Serie A,13,815,0.0,0.0,0.0,0.02,0.04,MF,26.0,7,0,23,12,11,59.0,40.0,10,0.11,0.55,0.0,0.0,27.3,91.8,92.6,87.2,7.0,77.0,10.0,5.0,64.0,15.0,7.0,3.0,5.0,50.0,5.0,11.0,3.0,8.0,6.0,2.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648,10000000.0
80,joachim andersen,dk DEN,Crystal Palace,eng Premier League,13,1170,0.08,0.0,0.08,0.07,0.03,DF,26.0,2,0,14,10,13,78.0,75.0,4,0.31,0.62,0.13,0.25,8.7,91.0,92.7,53.3,4.0,50.0,4.0,0.0,29.0,16.0,11.0,5.0,0.0,50.0,7.0,14.0,8.0,6.0,92.0,0.69,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764,32000000.0
82,felipe anderson,br BRA,Lazio,it Serie A,15,1217,0.22,0.15,0.37,0.13,0.24,FW,29.0,1,0,17,14,9,54.0,31.3,14,0.67,1.11,0.2,0.33,15.5,86.0,81.1,53.1,22.0,24.0,17.0,2.0,35.0,28.0,8.0,16.0,4.0,45.8,13.0,26.0,1.0,25.0,11.0,2.88,33.0,0.0,4.0,1.0,1.0,0.0,0.3,3.0,0.0,1.0,0.0,0.0,0.0,1725,15000000.0
83,benjamin andre,fr FRA,Lille,fr Ligue 1,14,1216,0.07,0.07,0.15,0.06,0.05,MF,32.0,4,0,26,16,20,110.0,61.5,3,0.15,0.89,0.08,0.5,14.7,88.8,88.6,72.9,9.0,92.0,11.0,0.0,78.0,60.0,21.0,32.0,7.0,50.9,26.0,20.0,6.0,14.0,30.0,2.44,29.0,0.0,0.0,2.0,1.0,1.0,0.3,3.0,0.0,0.0,0.0,1.0,0.0,1701,10000000.0
84,komnen andric,rs SRB,Clermont Foot,fr Ligue 1,15,1012,0.36,0.09,0.44,0.45,0.04,FW,27.0,3,0,10,28,8,24.0,50.0,1,0.62,1.87,0.14,0.43,12.9,76.4,80.9,85.0,8.0,17.0,2.0,0.0,9.0,10.0,2.0,5.0,3.0,18.2,9.0,6.0,1.0,5.0,7.0,1.51,14.0,0.0,1.0,1.0,1.0,0.0,0.18,1.0,0.0,0.0,1.0,0.0,0.0,1530,2000000.0
85,robert andrich,de GER,Leverkusen,de Bundesliga,13,980,0.09,0.18,0.28,0.07,0.06,MF,28.0,4,0,19,5,15,56.0,50.0,3,0.18,0.83,0.11,0.5,18.5,88.2,85.9,69.1,8.0,40.0,6.0,1.0,42.0,25.0,15.0,8.0,2.0,60.0,6.0,13.0,4.0,9.0,20.0,1.56,16.0,0.0,0.0,1.0,0.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,1759,11000000.0
86,angelino,es ESP,Hoffenheim,de Bundesliga,14,1174,0.0,0.23,0.23,0.03,0.22,DF,25.0,1,0,8,13,9,64.0,35.3,93,0.23,0.77,0.0,0.0,19.9,82.9,71.0,47.6,30.0,35.0,27.0,17.0,47.0,13.0,3.0,8.0,2.0,62.5,3.0,12.0,3.0,9.0,24.0,3.61,30.0,12.0,1.0,1.0,2.0,1.0,0.38,4.0,0.0,0.0,1.0,0.0,0.0,1683,20000000.0
87,fabrizio angileri,ar ARG,Getafe,es La Liga,8,510,0.0,0.0,0.0,0.02,0.0,DF,28.0,2,1,6,1,6,16.0,66.7,9,0.0,0.53,0.0,0.0,23.6,81.1,58.3,33.3,0.0,13.0,1.0,0.0,11.0,7.0,4.0,2.0,1.0,45.5,6.0,7.0,3.0,4.0,8.0,0.88,3.0,0.0,1.0,0.0,0.0,1.0,0.35,1.0,0.0,0.0,0.0,0.0,1.0,1632,3000000.0
