,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
733,seko fofana,ci CIV,Lens,fr Ligue 1,13,1113,0.24,0.16,0.4,0.37,0.14,MF,27.0,0,0,8,13,10,72.0,50.0,11,0.73,2.26,0.07,0.22,19.6,92.5,91.8,82.8,15.0,57.0,11.0,2.0,44.0,11.0,4.0,6.0,1.0,33.3,10.0,8.0,2.0,6.0,5.0,3.15,34.0,0.0,2.0,0.0,2.0,1.0,0.24,2.0,0.0,1.0,0.0,0.0,0.0,1722,30000000.0
736,youssouf fofana,fr FRA,Monaco,fr Ligue 1,14,1164,0.08,0.0,0.08,0.1,0.13,MF,23.0,2,1,23,15,12,85.0,55.6,3,0.31,1.24,0.06,0.25,22.4,80.5,85.6,74.3,10.0,62.0,10.0,0.0,70.0,36.0,12.0,20.0,4.0,70.4,8.0,14.0,2.0,12.0,11.0,2.09,23.0,0.0,3.0,0.0,1.0,0.0,0.31,3.0,0.0,0.0,0.0,1.0,0.0,1715,25000000.0
738,jose fonte,pt POR,Lille,fr Ligue 1,14,1260,0.07,0.0,0.07,0.07,0.02,DF,38.0,4,0,10,4,12,62.0,64.6,2,0.07,0.64,0.11,1.0,14.4,95.3,91.8,68.5,3.0,44.0,0.0,0.0,27.0,17.0,14.0,2.0,1.0,58.8,7.0,20.0,10.0,10.0,51.0,0.57,6.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,1701,700000.0
739,pablo fornals,es ESP,West Ham,eng Premier League,14,776,0.12,0.0,0.12,0.07,0.12,FW,26.0,0,0,8,4,9,68.0,31.3,34,0.46,1.39,0.08,0.25,24.5,87.6,75.9,54.3,9.0,34.0,5.0,2.0,34.0,13.0,5.0,4.0,4.0,25.0,15.0,7.0,0.0,7.0,7.0,3.48,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768,25000000.0
740,emil forsberg,se SWE,RB Leipzig,de Bundesliga,12,584,0.31,0.31,0.62,0.26,0.13,MF,31.0,2,0,9,8,0,19.0,40.0,6,0.31,0.62,0.25,0.5,17.5,87.8,89.5,64.3,6.0,26.0,8.0,0.0,22.0,7.0,1.0,3.0,3.0,40.0,3.0,10.0,0.0,10.0,3.0,2.16,11.0,0.0,0.0,2.0,1.0,0.0,0.46,3.0,0.0,0.0,0.0,0.0,0.0,1843,9000000.0
742,philipp forster,de GER,Bochum,de Bundesliga,12,652,0.14,0.28,0.41,0.07,0.1,MF,27.0,1,0,9,7,2,44.0,55.6,30,0.55,1.38,0.1,0.25,22.0,90.3,76.0,48.6,10.0,23.0,7.0,3.0,17.0,20.0,7.0,9.0,4.0,40.0,9.0,11.0,0.0,11.0,4.0,2.62,13.0,6.0,0.0,0.0,0.0,0.0,0.41,1.0,2.0,0.0,0.0,0.0,0.0,1609,2000000.0
750,przemyslaw frankowski,pl POL,Lens,fr Ligue 1,15,1007,0.0,0.18,0.18,0.09,0.2,DF,27.0,1,0,17,6,17,53.0,45.5,92,0.18,1.61,0.0,0.0,21.6,88.2,73.3,48.5,23.0,43.0,19.0,6.0,49.0,26.0,16.0,9.0,1.0,48.1,14.0,13.0,0.0,13.0,20.0,4.47,27.0,18.0,1.0,1.0,1.0,2.0,0.63,4.0,3.0,0.0,0.0,0.0,0.0,1722,7000000.0
752,davide frattesi,it ITA,Sassuolo,it Serie A,15,1210,0.3,0.0,0.3,0.27,0.06,MF,23.0,2,0,15,28,2,55.0,61.1,6,1.12,2.23,0.13,0.27,13.5,80.2,83.0,61.7,13.0,34.0,9.0,0.0,41.0,24.0,9.0,12.0,3.0,52.6,9.0,7.0,1.0,6.0,15.0,2.89,31.0,0.0,3.0,3.0,2.0,0.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,1625,22000000.0
753,fred,br BRA,Manchester Utd,eng Premier League,11,398,0.23,0.0,0.23,0.18,0.17,MF,29.0,2,0,9,4,8,39.0,16.7,3,0.68,3.17,0.07,0.33,19.5,86.0,87.2,68.2,9.0,18.0,3.0,1.0,20.0,9.0,3.0,4.0,2.0,25.0,6.0,12.0,0.0,12.0,3.0,4.52,14.0,0.0,0.0,3.0,1.0,2.0,0.45,1.0,0.0,0.0,1.0,0.0,0.0,1850,20000000.0
756,remo freuler,ch SUI,Nott'ham Forest,eng Premier League,11,831,0.0,0.0,0.0,0.02,0.03,MF,30.0,2,0,11,6,12,42.0,53.3,3,0.11,0.32,0.0,0.0,24.0,89.7,86.2,46.2,3.0,22.0,1.0,1.0,21.0,18.0,8.0,9.0,1.0,45.5,6.0,10.0,3.0,7.0,18.0,1.19,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630,13000000.0
